Image Code,Item/Page Title,Price,Listing Price, Free Shipping, size, Reccomended Size, Measurements,Colour,Condition,Description_1,Description_2, Item Url 
1,Vintage Coogi Knitted Sweatshirt ~ Large,£149.95,194.935,Yes,Size on label: L,Recommended size: L,"Pit to pit: 25"" // Shoulder to bottom: 28"" ",Colour: Multi: Blue, Yellow, Purple, Green,https://www.taylorsthrift.com//collections/sale-items/products/vintage-coogi-knitted-sweatshirt-large
2,Vintage Nike Hoodie ~ Large,£49.95,72.4275,No,Size on label: XL ,Recommended size: L,"Pit to pit: 24"" // Shoulder to bottom: 26.5"" ",Colour: Charcoal Grey ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-hoodie-large-1
3,Vintage 90's Adidas Sweatshirt ~ Xtra Large,£36,52.2,No,Size on label: D7 F186 ,Recommended size: XL,"Pit to pit: 25"" // Shoulder to bottom: 30"" ",Colour: Black,Condition: Good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-90s-adidas-sweatshirt-xtra-large
4,Vintage Adidas Track Jacket ~ Large,£34.95,50.6775,No,Size on label: D7 F186 ,Recommended size: L,"Pit to pit: 26"" // Shoulder to bottom: 28"" ",Colour: Black, Yellow, Blue ,Condition: Very good vintage condition! ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-track-jacket-large-3
5,RARE 90's Adidas Adi-Tex Trekking Jacket ~ Xtra Large,£79.95,103.935,Yes,Size on label: D50 F180,Recommended size: XL,"Pit to pit: 27"" // Shoulder to bottom: 33.5"" ",Colour: Light Turquoise , Purple trim ,Condition: Very good vintage condition! ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/rare-80s-adidas-adi-tex-jacket
6,Vintage Barbour Bedale Jacket - Xtra Large,£74.95,97.435,Yes,OLIVE GREEN A100 BEDALE JACKET ,Size on label: C46 / 117CM,Recommended size: XL,"Pit to pit: 25.5"" // Shoulder to bottom: 32"" ",Colour: Olive Green ,Condition: Excellent vintage condition!  ,Condition: Excellent vintage condition!  ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-barbour-bedale-jacket-xtra-large
7,Vintage Carhartt Hoodie ~ Xtra Large,£29.95,44.925,No,Size on label: XL,Recommended size: XL,"Pit to pit: 25"" // Shoulder to bottom: 31"" ",Colour: Burgundy ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-carhartt-hoodie-xtra-large
8,Vintage Guess Down Jacket ~ Xtra Large,£29.99,44.985,No,Size on label: XL ,Recommended size: XL,"Pit to pit: 28"" // Shoulder to bottom: 30.5"" ",Colour: Black,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-guess-down-jacket-xtra-large
9,Vintage Womens Nike Sweatshirt ~ Medium,£29.95,44.925,No,Size on label: M,Recommended size: M,"Pit to pit: 20"" // Shoulder to bottom: 22"" ",Colour: Light Grey & Pink ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-womens-nike-sweatshirt-medium
10,Vintage Ralph Lauren Chaps Harrington Jacket ~ Xtra Large,£44,63.8,No,Size on label: XL,Recommended size: XL/XXL,"Pit to pit: 28"" // Shoulder to bottom: 28"" ",Colour: Black,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-ralph-lauren-chaps-harrington-jacket-xtra-large
11,Vintage Lacoste Puffer Jacket ~ Large,£54.95,76.93,Yes,Size on label: 42,Recommended size: L,"Pit to pit: 24"" // Shoulder to bottom: 25"" ",Colour: Black ,Condition: Very good vintage condition! Small dirt marks on one sleeve. ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-lacoste-puffer-jacket-large
12,Vintage Fila Coat ~ Xtra Large,£26,39,No,Size on label: XL ,Recommended size: XL,"Pit to pit: 27.5"" // Shoulder to bottom: 29"" ",Colour: Blue & Black ,Condition: Excellent vintage condition!,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-fila-coat-xtra-large
13,Vintage Levis Milatary Jacket ~ Medium,£25.99,38.985,No,Size on label: M,Recommended size: M,"Pit to pit: 22"" // Shoulder to bottom: 29"" ",Colour: Camo Green. ,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-levis-milatary-jacket-medium
14,Vintage Reebok Track Jacket ~ Large,£32.95,47.7775,No,Size on label: S,Recommended size: L,"Pit to pit: 25"" // Shoulder to bottom: 27"" ",Colour: Dark Blue,Condition: Very good vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-reebok-track-jacket-large
15,Vintage Calvin Klein Lightweight Jacket ~ Medium,£32.99,47.8355,No,Size on label: M ,Recommended size: M,"Pit to pit: 21.5"" // Shoulder to bottom: 28"" ",Colour: White ,Condition: Good vintage condition, some scuff marks. Please see photos. ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-calvin-klein-lightweight-jacket-medium
16,Vintage Diesel Sweatshirt ~ XL,£32.95,47.7775,No,Size on label: XXL,Recommended size: XL ,"Pit to pit: 25.5"" // Shoulder to bottom: 30"" ",Colour: Black ,Condition: Excellent vintage condition!  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-diesel-sweatshirt-xl
17,Vintage Tommy Hilfiger Jacket ~ Large,£35,50.75,No,Size on label: L,Recommended size: L,"Pit to pit: 27"" // Shoulder to bottom: 29"" ",Colour: Beige,Condition: Good vintage condition, one stain mark on the back. Please see photos.   ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-tommy-hilfiger-jacket-large
18,Vintage Nike Hoodie ~ Large,£28,42,No,Size on label: L,Recommended size: L,"Pit to pit: 25"" // Shoulder to bottom: 26.5"" ",Colour: Grey ,Condition: Good vintage condition. ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-nike-hoodie-large
19,Vintage Kappa Sweatshirt ~ Xtra Large,£29.95,44.925,No,Size on label: XL,Recommended size: XL,"Pit to pit: 27"" // Shoulder to bottom: 28"" ",Colour: Red ,Condition: Excellent vintage condition! ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-kappa-sweatshirt-xtra-large
20,Vintage Adidas Sweatshirt ~ Large,£32.99,47.8355,No,Size on label: L,Recommended size: L,"Pit to pit: 25"" // Shoulder to bottom: 27"" ",Colour: Dark Brown, Red Trim ,Condition: Very good vintage condition.   ,Please note all items are vintage,https://www.taylorsthrift.com//collections/sale-items/products/vintage-adidas-sweatshirt-large-4
21,Vintage Fila Fleece/Sweatshirt ~ Xtra Large,£26.95,40.425,No,Size on label: XL,Recommended size: XL ,"Pit to pit: 27"" // Shoulder to bottom: 28"" ",Colour: Navy ,Condition: Very good vintage condition!  ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-fila-fleece-sweatshirt-xtra-large
23,Vintage Puma Sweatshirt ~ Large,£30,44.925,No,Size on label: XXL,Recommended size: L,"Pit to pit: 26"" // Shoulder to bottom: 27"" ",Colour: Navy ,Condition: Good vintage condition.   ,Please note all items are vintage, meaning they may show a few signs of wear or fading. Anything that is significantly noticeable will be noted & accompanied with pictures. ,https://www.taylorsthrift.com//collections/sale-items/products/vintage-puma-sweatshirt-large-1
